"","Date","Open","High","Low","Close","Volume","Market.Cap","btc_market_price","btc_total_bitcoins","btc_market_cap","btc_trade_volume","btc_blocks_size","btc_avg_block_size","btc_n_orphaned_blocks","btc_n_transactions_per_block","btc_median_confirmation_time","btc_hash_rate","btc_difficulty","btc_miners_revenue","btc_transaction_fees","btc_cost_per_transaction_percent","btc_cost_per_transaction","btc_n_unique_addresses","btc_n_transactions","btc_n_transactions_total","btc_n_transactions_excluding_popular","btc_n_transactions_excluding_chains_longer_than_100","btc_output_volume","btc_estimated_transaction_volume","btc_estimated_transaction_volume_usd","Quarter","Year","price","hash_rate","diff","trans"
"24",2013-05-21,122.02,123,121.21,122.88,"-","1,363,940,000",122.5,11180875,1369657187.5,2506085.6166,7812,0.179611758389,0,247,8.56666666667,82.8621161382,11187257.4614,461457.5,42.99289632,2.52868732683,8.44170752232,63976,54664,18200406,25688,27550,669674.33826,148971,18248895,2,2013,122.5,82.8621161382,11187257.4614,54664
"25",2013-05-22,122.89,124,122,123.89,"-","1,374,130,000",122.64,11185025,1371731466,3576167.8848,7838,0.157968626506,0,304,8.03333333333,92.3161830802,11187257.4614,515701.2,55.07809707,3.04224438644,9.55338359793,65369,53981,18254387,26186,26379,761102.617926,138220,16951340,2,2013,122.64,92.3161830802,11187257.4614,53981
"26",2013-05-23,123.8,126.93,123.1,126.7,"-","1,384,780,000",125.67,11189050,1406127913.5,4350902.206,7864,0.162886937888,0,340,7.73333333333,89.5355751561,11187257.4614,512482.26,53.41115964,2.96417485607,9.34777214359,65171,54824,18309211,27539,26529,669637.355513,137576,17289205,2,2013,125.67,89.5355751561,11187257.4614,54824
"27",2013-05-24,126.3,133.85,125.72,133.2,"-","1,413,300,000",131.5,11193100,1471892650,8849327.648,7890,0.162237777778,0,326,7.96666666667,90.0916967409,11187257.4614,537966.5,41.98819177,2.93058599861,9.76239429463,67558,55106,18364317,28073,27073,733232.760889,139597,18356960,2,2013,131.5,90.0916967409,11187257.4614,55106
"28",2013-05-25,133.1,133.22,128.9,131.98,"-","1,489,950,000",132.69,11197400,1485783006,3257942.661,7916,0.1556465,0,338,7.68333333333,103.913692158,12153411.7098,577864.95,55.98522589,1.78749889314,10.3493257038,60147,55836,18420153,23552,24840,865063.361449,243637,32328129,2,2013,132.69,103.913692158,12153411.7098,55836
"29",2013-05-26,131.99,136,130.62,133.48,"-","1,478,030,000",134.04701,11201425,1501517528.99,4004846.9424,7937,0.132647503106,0,309,9.46666666667,97.2680490551,12153411.7098,543560.62555,30.67004412,5.8321332467,13.6302471363,52307,39879,18460032,21292,21432,391310.153811,69529,9320100,2,2013,134.04701,97.2680490551,12153411.7098,39879
"30",2013-05-27,133.5,135.47,124.7,129.75,"-","1,495,520,000",132.60997,11205725,1485990856.08,7607801.691,7962,0.149877023256,0,264,7.61666666667,103.913692158,12153411.7098,576455.53959,47.80327835,4.78672439882,11.0058907457,59395,52377,18512409,23700,23397,504337.019136,90814,12042798,2,2013,132.60997,103.913692158,12153411.7098,52377
"31",2013-05-28,129.77,130.58,125.6,129,"-","1,454,310,000",128.321,11209775,1438449537.78,4089359.7098,7987,0.160390160494,0,250,7.61666666667,97.8721984281,12153411.7098,526629.384,54.56592486,2.40750544798,9.55111509304,56871,55138,18567547,23738,24808,790756.391391,170467,21874484,2,2013,128.321,97.8721984281,12153411.7098,55138
"32",2013-05-29,129,132.59,127.66,132.3,"-","1,446,190,000",129.97994,11213975,1457591797.66,4158931.1309,8013,0.157464892857,0,249,7.76666666667,101.497094666,12153411.7098,552544.72494,51.94317506,2.81231631283,10.0610849604,66689,54919,18622466,28087,27286,771923.007658,151157,19647318,2,2013,129.97994,101.497094666,12153411.7098,54919
"33",2013-05-30,132.25,132.25,127,128.8,"-","1,483,180,000",130.99589,11218200,1469538093.2,4862725.4473,8040,0.165432449704,0,286,7.78333333333,102.101244039,12153411.7098,559483.44619,46.71194711,2.79777109044,9.78631181022,63212,57170,18679636,26318,26819,630011.588855,152657,19997470,2,2013,130.99589,102.101244039,12153411.7098,57170
"34",2013-05-31,128.8,129.9,126.4,129,"-","1,445,050,000",127.34072,11222850,1429125799.45,3082378.1955,8067,0.14865483871,0,272,7.05,112.37178338,12153411.7098,598246.70256,48.95769767,2.76667265799,10.383343213,62386,57616,18737252,26691,25802,738730.71909,169807,21623328,2,2013,127.34072,112.37178338,12153411.7098,57616
"35",2013-06-01,128.81,129.78,127.2,129.3,"-","1,445,800,000",129.19945,11227800,1450625584.71,1443343.692,8092,0.128308126263,0,314,6.56666666667,119.621575857,12153411.7098,644576.05605,39.3619438,5.20020053706,12.3034177524,59033,52390,18789642,24158,24682,499558.632543,95939,12395215,2,2013,129.19945,119.621575857,12153411.7098,52390
"36",2013-06-02,129.3,129.4,115.05,122.29,"-","1,451,930,000",120.60293,11232900,1354720652.4,15111857.1422,8116,0.122370509804,0,337,6.9,123.246472095,12153411.7098,620381.47192,44.65643906,4.51771673804,12.1617194707,50677,51011,18840653,22684,24166,437429.079839,113863,13732191,2,2013,120.60293,123.246472095,12153411.7098,51011
"37",2013-06-03,122.5,122.5,116,122.22,"-","1,376,180,000",120.00002,11238125,1348575224.76,5095106.6568,8141,0.122037995215,0,285,6.2,126.26721896,12153411.7098,632880.10548,49.50440017,2.92612962367,12.1595470619,58321,52048,18892701,24959,25241,643729.254666,180238,21628574,2,2013,120.00002,126.26721896,12153411.7098,52048
"38",2013-06-04,120.74,123.84,119.1,121.42,"-","1,357,020,000",120.56663,11243375,1355575833.58,4027833.069,8169,0.134134280952,0,276,6.45,126.871368333,12153411.7098,640691.07182,64.89014237,2.4202601497,10.6572253205,63518,60118,18952819,27841,26266,730847.337379,219563,26471992,2,2013,120.56663,126.871368333,12153411.7098,60118
"39",2013-06-05,121.4,123.47,119.9,121.65,"-","1,365,110,000",122.4051,11248425,1376864586.97,2955707.7165,8195,0.133270118812,0,235,6.06666666667,156.703562082,15605632.6813,625490.061,60.62469501,3.02876261785,11.3835161337,67477,54947,19007766,25027,25810,674394.727126,168716,20651670,2,2013,122.4051,156.703562082,15605632.6813,54947
"40",2013-06-06,121.9,123.1,117.25,118,"-","1,371,300,000",120.68998,11252875,1358109258.69,3469280.9151,8221,0.148913949438,0,290,8.23333333333,138.085317082,15605632.6813,542260.08014,43.37307063,2.7925685591,9.69741550377,60098,55918,19063684,26401,26347,762431.292358,160891,19417968,2,2013,120.68998,138.085317082,15605632.6813,55918
"41",2013-06-07,118.97,119,106.42,111.5,"-","1,338,880,000",110.29501,11256900,1241579898.07,10381120.9005,8247,0.161852807453,0,232,7.71666666667,124.897393541,15605632.6813,448349.21565,40.4846895,1.72243096571,8.25218044303,60504,54331,19118015,26978,26028,716027.769499,236004,26030025,2,2013,110.29501,124.897393541,15605632.6813,54331
"42",2013-06-08,111,111.42,107.3,108.3,"-","1,249,630,000",107.8,11261100,1213946580,2949717.4382,8269,0.132591577381,0,224,6.7,130.327714999,15605632.6813,457611,45.68561726,3.05383320886,9.53892814708,51054,47973,19165988,23662,23477,428601.405288,139006,14984807,2,2013,107.8,130.327714999,15605632.6813,47973
"43",2013-06-09,107.89,108.99,88.5,100,"-","1,215,130,000",98.47045,11265275,1109296698.62,19289688.88,8290,0.130462568862,0,279,7.66666666667,129.551954791,15605632.6813,414659.06495,36.50155661,1.83084892033,8.9681221738,45062,46237,19212225,20904,20537,642064.629145,230003,22648459,2,2013,98.47045,129.551954791,15605632.6813,46237
"44",2013-06-10,100.44,110.1,95,106.35,"-","1,131,570,000",104.96851,11269775,1182971489.79,8904894.1636,8309,0.109047827778,0,235,7.05,139.636837499,15605632.6813,475927.22434,34.19488951,2.82739337401,11.2231105112,48672,42406,19254631,20896,22061,491518.550798,160360,16832721,2,2013,104.96851,139.636837499,15605632.6813,42406
"45",2013-06-11,106.35,109.6,104,108.9,"-","1,198,640,000",108,11274175,1217610900,2667019.4964,8332,0.130823715909,0,214,7.26666666667,136.533796666,15605632.6813,480276,47.23966648,3.07628946404,9.37892516794,57169,51208,19305839,23454,24000,569521.547653,144557,15612185,2,2013,108,136.533796666,15605632.6813,51208
"46",2013-06-12,109,111.79,106.73,108.15,"-","1,229,000,000",108.16201,11279175,1219978239.14,3196397.666,8353,0.10893709,0,281,6.43333333333,155.152041666,15605632.6813,545461.01643,43.47723521,2.89122216633,11.7513199136,52722,46417,19352256,21852,23534,600093.883646,174425,18866105,2,2013,108.16201,155.152041666,15605632.6813,46417
"47",2013-06-13,108.78,110.3,100.53,104,"-","1,227,030,000",109,11284000,1229956000,4592100.0292,8373,0.104501145078,0,322,5.88333333333,149.721720207,15605632.6813,530067,38.93851606,3.62956030457,12.2411666898,53645,43302,19395558,22741,24381,533607.001973,133983,14604166,2,2013,109,149.721720207,15605632.6813,43302
"48",2013-06-14,103.95,104.7,98,99.98,"-","1,173,060,000",100,11288300,1128830000,5204513.424,8395,0.130880860465,0,375,7.76666666667,133.430755832,15605632.6813,433800,38.16991619,2.25656976348,9.01421328235,60855,48124,19443682,26342,23585,741296.841692,192239,19223868,2,2013,100,133.430755832,15605632.6813,48124
"49",2013-06-15,100,103.7,98,99.99,"-","1,128,950,000",101.96998,11292700,1151516393.15,2947662.7152,8414,0.109659568182,0,338,7.4,136.533796666,15605632.6813,452440.80126,37.25196643,3.16651632198,10.8940502579,52008,41531,19485213,21840,21033,509157.724804,140122,14288283,2,2013,101.96998,136.533796666,15605632.6813,41531
"50",2013-06-16,99.8,101.6,98.95,99.51,"-","1,127,120,000",100,11297375,1129737500,1339124.8424,8432,0.0980069144385,0,306,6.51666666667,145.067158957,15605632.6813,470400,29.0746919,4.5473630268,11.7376983731,37955,40076,19525289,17372,19852,458689.591168,103445,10344457,2,2013,100,145.067158957,15605632.6813,40076
"51",2013-06-17,99.9,102.21,99,101.7,"-","1,128,720,000",100.52521,11301225,1136058016.38,2214316.1064,8451,0.127332474026,0,247,7.8,148.049400446,19339258.2724,390540.44085,35.05299427,3.2569740336,8.99883501578,45693,43399,19568688,20835,20885,557268.802313,119282,11990898,2,2013,100.52521,148.049400446,19339258.2724,43399
"52",2013-06-18,101.95,111.11,101.03,107.4,"-","1,152,250,000",107.38999,11304875,1214030413.2,8427353.5444,8472,0.147116239726,0,230,8.9,140.358522501,19339258.2724,395839.50314,36.99237474,2.53635280602,8.4176396202,48967,47025,19615713,23077,23174,600799.737558,145327,15606642,2,2013,107.38999,140.358522501,19339258.2724,47025
"53",2013-06-19,107.05,110.22,105.75,108.25,"-","1,210,260,000",107.835,11308000,1219398180,2898261.579,8493,0.171229704,0,286,12.1,120.169967895,19339258.2724,340866.435,36.13715542,2.27120602063,7.26747617423,55778,46903,19662616,25385,24698,639946.24255,139177,15008169,2,2013,107.835,120.169967895,19339258.2724,46903
"54",2013-06-20,108.25,114.3,107.5,110.15,"-","1,224,210,000",111.97,11311650,1266565450.5,6193938.1224,8515,0.155911547945,0,308,10.6666666667,140.358522501,19339258.2724,415632.64,62.60148592,2.49643202948,8.40680906149,54530,49440,19712056,26140,23576,664640.982155,148692,16649067,2,2013,111.97,140.358522501,19339258.2724,49440
"55",2013-06-21,111.29,114.99,107.69,109.5,"-","1,259,000,000",111,11315975,1256073225,6143518.4052,8540,0.146934861272,0,241,9.43333333333,166.315235566,19339258.2724,486180,55.51629176,2.39147894224,9.17424614107,58295,52994,19765050,26165,25085,808002.230281,183150,20329679,2,2013,111,166.315235566,19339258.2724,52994
"56",2013-06-22,109.5,109.96,107.51,108.3,"-","1,239,210,000",109.09,11320275,1234928799.75,1636878.477,8560,0.116584616279,0,281,7.95,165.353875823,19339258.2724,473996.05,45.58428107,4.07056346173,11.1342474924,49708,42571,19807621,21857,21186,453784.512603,106742,11644483,2,2013,109.09,165.353875823,19339258.2724,42571
"57",2013-06-23,108.2,108.8,106.23,107.6,"-","1,224,980,000",107.68389,11324675,1219485056.99,1807671.082,8578,0.104246431818,0,287,8.71666666667,169.199314796,19339258.2724,478116.4716,40.63780671,4.30384648854,11.7664141261,41462,40634,19848255,18203,19398,363194.718085,103164,11109050,2,2013,107.68389,169.199314796,19339258.2724,40634
"58",2013-06-24,107.9,108.33,100.98,102.74,"-","1,222,030,000",101.96936,11328250,1155134402.42,4587198.296,8597,0.132941447552,0,242,10.0833333333,137.474443272,19339258.2724,368313.32832,37.82404209,2.30343274581,8.99136606987,48326,40963,19889218,21748,21756,519400.881322,156809,15989758,2,2013,101.96936,137.474443272,19339258.2724,40963
"59",2013-06-25,102.09,106.47,101.01,103.95,"-","1,156,610,000",103.86665,11331950,1177011684.47,10765750.287,8617,0.139011668919,0,201,7.91666666667,142.281241987,19339258.2724,388045.8044,36.22112769,2.57073193821,8.5120164166,50770,45588,19934806,24782,24165,729778.864356,145328,15094760,2,2013,103.86665,142.281241987,19339258.2724,45588
"60",2013-06-26,103.33,105.49,102.79,104,"-","1,171,050,000",104.40565,11336675,1183612922.21,1952325.0957,8637,0.108752624339,0,222,7.25,181.696991457,19339258.2724,497284.11095,38.21914872,3.02172294589,10.9110959924,54518,45576,19980382,26087,24111,647186.410645,157625,16456972,2,2013,104.40565,181.696991457,19339258.2724,45576
"61",2013-06-27,104,104,101.1,101.44,"-","1,179,110,000",102.79001,11340825,1165723515.16,2158332.4707,8658,0.131536753012,0,275,8.61666666667,159.585717364,19339258.2724,429970.61183,33.13590698,3.00671389674,9.18799520974,51936,46797,20027179,24892,23576,595242.990964,139122,14300350,2,2013,102.79001,159.585717364,19339258.2724,46797
"62",2013-06-28,101.74,101.74,92.33,94.65,"-","1,153,880,000",96.63498,11345025,1096326263.97,6882181.4474,8680,0.133115309524,0,202,7.61666666667,161.50843685,19339258.2724,410408.76006,47.29444705,2.49525390987,8.49285572511,53524,48324,20075503,26147,23921,582637.004606,170203,16447575,2,2013,96.63498,161.50843685,19339258.2724,48324
"63",2013-06-29,94.66,99.99,93,94.99,"-","1,074,010,000",95.85301,11349050,1087840603.14,3143678.5308,8698,0.116254937888,0,203,8.61666666667,170.754179026,21335329.114,388204.6905,25.79585074,2.99428702499,9.96086240474,55499,38973,20114476,23586,21823,599896.387348,135258,12964846,2,2013,95.85301,170.754179026,21335329.114,38973
"64",2013-06-30,95,98.12,94.22,96.61,"-","1,078,260,000",96.5,11353150,1095578975,1273106.6658,8713,0.0930506707317,0,205,8.93333333333,173.935933914,21335329.114,397483.5,19.88041027,3.95671876051,12.0471449354,41271,32994,20147470,19434,18849,421917.862971,104101,10045786,2,2013,96.5,173.935933914,21335329.114,32994
"65",2013-07-01,97.51,97.66,86.3,88.05,"-","1,107,130,000",90.998,11356975,1033462011.05,7629744.5774,8728,0.103226986928,0,196,7.8,162.269499323,21335329.114,350888.288,31.95531521,1.8054786061,10.3041813643,49206,34053,20181523,24137,20816,702652.262859,213572,19434641,3,2013,90.998,162.269499323,21335329.114,34053
"66",2013-07-02,88.05,92.3,87.51,90.13,"-","1,000,070,000",89.55,11360900,1017368595,4045224.2845,8747,0.123954808917,0,154,8.65,166.511839174,21335329.114,354797.1,37.0769864,1.5252233068,8.20074657914,56769,43264,20224787,29925,24803,858590.71967,259765,23261977,3,2013,89.55,166.511839174,21335329.114,43264
